Ref,Guid,PricePointId,ProductReferenceCode,PercentDiscount
319,deb12a19-ddea-46fe-8395-5044c3ff6f44,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherCover_12x8_30pp,0.6799
321,d464a716-8991-4b1c-af1e-a2a76cc75e5d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_12x8_Blue_100pp,0.7119
323,cf3321f5-4afb-4e3f-9084-a4a4b477f777,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_12x8_Purple_50pp,0.6797
325,e0ba5c41-8953-453a-9516-fda704f79461,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Black_50pp,0.6795
327,c3179116-f532-47f0-b4cf-8eeb780b5ff9,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Blue_50pp,0.6795
329,d694f51f-78da-42e3-ac26-4764abceb8a9,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Purple_100pp,0.6797
331,db571d5c-2656-4a1c-85ab-7e91ae4337e6,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Black_40pp,0.6796
333,cfb04879-c3cc-4dee-9f5e-98de9a0acd42,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Blue_100pp,0.6794
335,de89c63f-dfdc-469b-b8b1-cb914f0dd4d5,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Blue_20pp,0.679
337,c3980d67-9086-4918-8821-f35878887d8e,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_12x8_140pp,0.6796
339,c46d462b-8902-496e-b52f-dd84a61333d2,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_12x8_30pp,0.6799
