refcode,width,height,thickness,image_hint,icon_hint,platinumProductType,platinumProductSubType,platinumProductSuperType
PBLayFlat_PhotoHardCover_12x8_40pp,300,200,0,/images/admin/ppproductsize/pblayflat_photohardcover_12x8_40pp_1730913757.webp,NULL,420,42002,NULL
Mug_Basic15oz_White_PackOf2,220,105,0,,NULL,5,501,NULL
PB_CailuxCover_11x11_Gray_50pp,273,273,0,NULL,NULL,1,106,NULL
Canvas_F38_24x32_v9,600,800,38,,NULL,4,401,NULL
Canvas_F38_24x12_v9,600,300,38,,NULL,4,401,NULL
Canvas_F18_10x10,250,250,18,/images/admin/ppproductsize/canvas_f18_10x10.webp,,4,401,NULL
Cal_SinglePoster_20x30,508,762,0,,NULL,2,224,NULL
PB_LeatherCover_8x8_100pp,198,198,0,/images/admin/ppproductsize/pb_leathercover_8x8_100pp_1732703055.webp,,1,101,NULL
PBLayFlat_StdCailuxCover_8x8_Gray_40pp,200,200,0,/images/admin/ppproductsize/pblayflat_stdcailuxcover_8x8_gray_40pp.webp,NULL,420,42016,NULL
Canvas_F38_20x20,500,500,38,,NULL,4,401,NULL
BlanketSherpafleece_60x80_PackOf3,1547,2092,0,,NULL,404,40454,NULL
PBLayFlat_PhotoHardCover_8x8_40pp,200,200,0,/images/admin/ppproductsize/pblayflat_photohardcover_8x8_40pp_1730915916.webp,NULL,420,42002,NULL
Poster_18x12,457,305,0,,,7,700,NULL
Canvas_F18_12x8_FloatFrameWalnutFlair,300,200,18,,NULL,4,401,NULL
MetalPrintCluster3_14x11,356,279,0,,NULL,366,36603,NULL
PB_CailuxCover_8x8_Gray_100pp,198,198,0,NULL,NULL,1,106,NULL
Frame_Wooden_16x12_Black,414,291,0,/images/admin/ppproductsize/frame_wooden_16x12_black.webp,,9,901,NULL
PB_PhotoHardCover_12x8_30pp,295,208,0,/images/admin/ppproductsize/pb_photohardcover_12x8_30pp_1730986995.webp,NULL,1,105,NULL
Poster_20x27,508,686,0,,,7,700,NULL
Canvas_F18_40x12,1000,300,18,,NULL,4,401,NULL
PBLayFlat_AcrylicWinFull_12x8_Black_20pp,300,200,0,/images/admin/ppproductsize/pblayflat_acrylicwinfull_12x8_black_20pp_1737720730.webp,NULL,420,42027,NULL
Canvas_F18_16x10,400,250,18,/images/admin/ppproductsize/canvas_f18_16x10.webp,,4,401,NULL
CushionPolyester_14x14,360,360,0,NULL,NULL,373,37331,NULL
FramedTile_8x10_Black,202,270,0,/images/admin/ppproductsize/framedtile_8x10_black_1754915619.webp,NULL,430,43001,NULL
PhotoTileCluster3_8x8,203,203,0,/images/admin/ppproductsize/phototilecluster3_8x8.webp,NULL,380,38002,NULL
PB_LeatherLorenzo_12x8_Cream_60pp,295,208,0,,,1,112,NULL
Cal_Easel12p_5x7,120,170,0,,,2,205,NULL
